resultadoHemograma | resultadoHemograma | text
fechaResultHemograma | fechaResultHemograma | date
resultadoHemoglobina | resultadoHemoglobina | text
fechaResultHemoglobina | fechaResultHemoglobina | date
resultadoHematocrito | resultadoHematocrito | text
fechaResultHematocrito | fechaResultHematocrito | date
resultadoPlaquetas | resultadoPlaquetas | text
fechaResultPlaquetas | fechaResultPlaquetas | date
resultadoLeucocitos | resultadoLeucocitos | text
fechaResultLeucocitos | fechaResultLeucocitos | date
resultadoGlicemia | resultadoGlicemia | number
fechaResultGlicemia | fechaResultGlicemia | date
resultadoHemoglobina | resultadoHemoglobina | number
fechaResultHemoglobina | fechaResultHemoglobina | date
resultadoColesterolTotal | resultadoColesterolTotal | number
fechaResultColesterolTotal | fechaResultColesterolTotal | date
resultadoColesterolHDL | resultadoColesterolHDL | number
fechaResultColesterolHDL | fechaResultColesterolHDL | date
resultadoColesterolLDL | resultadoColesterolLDL | number
fechaResultColesterolLDL | fechaResultColesterolLDL | date
resultadoTrigliceridos | resultadoTrigliceridos | number
fechaResultTrigliceridos | fechaResultTrigliceridos | date
resultadoCreatinina | resultadoCreatinina | number
fechaResultCreatinina | fechaResultCreatinina | date
resultadoCreatinuria | resultadoCreatinuria | number
fechaResultCreatinuria | fechaResultCreatinuria | date
resultadoAlbuminuria | resultadoAlbuminuria | number
fechaResultAlbuminuria | fechaResultAlbuminuria | date
resultadoMicroAlbuminuria | resultadoMicroAlbuminuria | number
fechaResultMicroAlbuminuria | fechaResultMicroAlbuminuria | date
resultadoFosforo | resultadoFosforo | number
fechaResultFosforo | fechaResultFosforo | date
resultadoAlbumina | resultadoAlbumina | number
fechaResultAlbumina | fechaResultAlbumina | date
resultadoCalcio | resultadoCalcio | number
fechaResultCalcio | fechaResultCalcio | date
resultadoPotasio | resultadoPotasio | number
fechaResultPotasio | fechaResultPotasio | date
resultadoProteina24H | resultadoProteina24H | number
fechaResultProteina24H | fechaResultProteina24H | date
resultadoDepuracionCreatininaEnOrina24H | resultadoDepuracionCreatininaEnOrina24H | number
fechaResultDepuracionCreatininaEnOrina24H | fechaResulDepuracionCreatininaEnOrina24H | date
resultadoNitrogenoUreicoSangre | resultadoNitrogenoUreicoSangre | number
fechaResultNitrogenoUreicoSangre | fechaResultNitrogenoUreicoSangre | date
resultadoHemoclasificacion | resultadoHemoclasificacion | text
fechaResultHemoclasificacion | fechaResultHemoclasificacion | date
resultadoElectrocardiograma | resultadoElectrocardiograma | text
fechaResultElectrocardiograma | fechaResultElectrocardiograma | date
resultadoEcografiaRenal | resultadoEcografiaRenal | text
fechaResultEcografiaRenal | fechaResultEcografiaRenal | date
resultadoALT | resultadoALT | text
fechaResultALT | fechaResultALT | date
resultadoAST | resultadoAST | text
fechaResultAST | fechaResultAST | date
resultadoPTH | resultadoPTH | number
fechaResultPTH | fechaResultPTH | date
resultadoMicroAlbuminuriaCreatinuria | resultadoMicroAlbuminuriaCreatinuria | number
fechaResultMicroAlbuminuriaCreatinuria | fechaResultMicroAlbuminuriaCreatinuria | date
resultadoRelacionAlbuminaCreatinina | resultadoRelacionAlbuminaCreatinina | number
fechaResultRelacionAlbuminaCreatinina | fechaResultRelacionAlbuminaCreatinina | date
resultadoDeSodio | resultadoDeSodio | number
fechaResultadoDeSodio | fechaResultadoDeSodio | date
resultadoAcidoUrico | resultadoAcidoUrico | text
fechaResultAcidoUrico | fechaResultAcidoUrico | date
- | resultadoPrograma.swUroanalisis | radio
- | resultadoPrograma.swUroanalisis | radio
